stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;2.2;4.05;0.0;4.05;9.501;5.451;4.05;7.373;3.323;4.05;4.05;0.0;4.05;6.701;0.083;6.618
9;3.3;46.82;0.0;46.82;178.72;131.9;46.82;164.095;117.275;46.82;46.82;0.0;46.82;98.823;31.162;67.661
10;7.2;57.29;0.0;57.29;91.153;33.863;57.29;102.849;45.559;57.29;57.29;0.0;57.29;117.893;18.234;99.659
11;7.8;89.226;0.0;89.226;386.06;296.834;89.226;781.365;692.139;89.226;89.226;0.0;89.226;388.305;328.558;59.747
12;8.9;87.987;0.0;87.987;216.157;128.17;87.987;959.589;871.601;87.987;87.987;0.0;87.987;484.464;443.415;41.049
13;9.4;72.669;0.0;72.669;72.669;0.0;72.669;934.896;862.228;72.669;179.998;107.329;72.669;464.489;439.768;24.721
14;10.6;52.561;0.0;52.561;52.561;0.0;52.561;858.999;806.438;52.561;378.915;326.354;52.561;397.358;386.189;11.169
15;10;29.536;0.0;29.536;29.536;0.0;29.536;670.663;641.127;29.536;488.159;458.623;29.536;264.313;261.763;2.55
16;9.4;12.482;0.0;12.482;12.482;0.0;12.482;458.323;445.842;12.482;498.164;485.682;12.482;124.815;124.815;0.0
17;6.7;9.967;0.0;9.967;9.967;0.0;9.967;69.914;59.947;9.967;105.269;95.302;9.967;13.124;3.055;10.069
18;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;-4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;-5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;-7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;-8.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;-9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;-10.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;-11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;-12.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;-12.2;1.53;0.0;1.53;1.53;0.0;1.53;1.53;0.0;1.53;1.53;0.0;1.53;3;0;3
33;-12.8;14.287;0.0;14.287;16.499;2.212;14.287;16.245;1.958;14.287;14.287;0.0;14.287;26.522;0.522;26
34;-12.8;25.723;0.0;25.723;29.216;3.493;25.723;30.399;4.676;25.723;25.723;0.0;25.723;48.225;1.877;46.347
35;-12.8;33.078;0.0;33.078;34.531;1.452;33.078;36.443;3.365;33.078;33.078;0.0;33.078;64.602;1.602;63
36;-13.9;37.898;0.0;37.898;38.425;0.527;37.898;41.43;3.532;37.898;37.898;0.0;37.898;73.803;1.803;72
37;-15;37.9;0.0;37.9;37.9;0.0;37.9;41.439;3.54;37.9;38.334;0.434;37.9;73.812;1.812;72
38;-15;33.083;0.0;33.083;33.083;0.0;33.083;36.471;3.388;33.083;34.449;1.366;33.083;64.63;1.63;63
39;-15;25.751;0.0;25.751;25.751;0.0;25.751;30.332;4.582;25.751;29.022;3.271;25.751;48.269;1.883;46.386
40;-16.1;14.288;0.0;14.288;14.288;0.0;14.288;16.282;1.994;14.288;16.458;2.169;14.288;26.565;0.565;26
41;-17.2;1.822;0.0;1.822;1.822;0.0;1.822;2.563;0.741;1.822;3.0;1.178;1.822;3.007;0.041;2.966
42;-17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;-17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;-18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;-18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;-18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;-19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;-18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;-19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;-18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;-18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;-19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;-20.6;4.047;0.0;4.047;9.547;5.5;4.047;7.366;3.318;4.047;4.047;0.0;4.047;6.695;0.081;6.614
57;-20.6;39.982;0.0;39.982;121.215;81.233;39.982;111.529;71.547;39.982;39.982;0.0;39.982;82.741;19.124;63.617
58;-21.1;52.274;0.0;52.274;76.509;24.235;52.274;84.557;32.283;52.274;52.274;0.0;52.274;104.759;13.003;91.756
59;-22.2;68.533;0.0;68.533;79.362;10.829;68.533;93.459;24.926;68.533;68.533;0.0;68.533;139.612;11.909;127.703
60;-20;86.82;0.0;86.82;216.213;129.393;86.82;940.968;854.148;86.82;86.82;0.0;86.82;477.876;437.542;40.334
61;-18.9;69.917;0.0;69.917;69.917;0.0;69.917;885.149;815.231;69.917;168.412;98.495;69.917;443.086;419.04;24.046
62;-18.9;82.553;0.0;82.553;82.553;0.0;82.553;543.079;460.526;82.553;267.497;184.943;82.553;286.42;222.638;63.782
63;-19.4;62.124;0.0;62.124;62.124;0.0;62.124;460.79;398.666;62.124;346.259;284.135;62.124;211.339;164.916;46.423
64;-20.6;15.345;0.0;15.345;15.345;0.0;15.345;427.313;411.968;15.345;463.246;447.902;15.345;120.746;118.059;2.687
65;-20.6;10.607;0.0;10.607;10.607;0.0;10.607;54.943;44.337;10.607;81.029;70.422;10.607;14.091;2.641;11.45
66;-21.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;-21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;-21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;-22.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;-23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74;-24.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;-23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;-23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;-23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;-23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79;-23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;-23.9;13.402;0.0;13.402;65.705;52.303;13.402;44.785;31.382;13.402;13.402;0.0;13.402;22.76;0.76;22
81;-22.8;65.602;0.0;65.602;342.573;276.971;65.602;308.335;242.733;65.602;65.602;0.0;65.602;166.142;65.142;101
82;-20;90.753;0.0;90.753;443.532;352.779;90.753;558.246;467.493;90.753;90.753;0.0;90.753;284.006;189.017;94.988
83;-16.7;97.83;0.0;97.83;467.923;370.093;97.83;944.039;846.209;97.83;97.83;0.0;97.83;466.928;405.836;61.092
84;-16.1;90.849;0.0;90.849;228.821;137.972;90.849;988.261;897.412;90.849;90.849;0.0;90.849;503.808;461.51;42.297
85;-15;76.835;0.0;76.835;76.835;0.0;76.835;961.183;884.347;76.835;182.075;105.24;76.835;483.764;456.548;27.217
86;-11.7;53.171;0.0;53.171;53.171;0.0;53.171;861.101;807.931;53.171;376.437;323.266;53.171;403.776;392.637;11.139
87;-12.8;28.43;0.0;28.43;28.43;0.0;28.43;690.524;662.094;28.43;499.54;471.11;28.43;276.479;275.845;0.634
88;-14.4;13.15;0.0;13.15;13.15;0.0;13.15;466.36;453.21;13.15;505.524;492.374;13.15;131.503;131.503;0.0
89;-16.7;9.288;0.0;9.288;9.288;0.0;9.288;87.433;78.146;9.288;133.393;124.105;9.288;13.334;5.013;8.32
90;-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;-19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93;-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;-19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95;-18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96;-18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;-17.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;-18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99;-16.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101;-11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;-9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;-11.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;-5.6;13.397;0.0;13.397;62.344;48.947;13.397;42.598;29.201;13.397;13.397;0.0;13.397;22.71;0.71;22
105;-1.7;55.267;0.0;55.267;599.243;543.976;55.267;529.547;474.28;55.267;55.267;0.0;55.267;214.823;127.877;86.946
106;2.2;87.383;0.0;87.383;603.858;516.475;87.383;768.161;680.778;87.383;87.383;0.0;87.383;351.535;276.426;75.108
107;4.4;89.959;0.0;89.959;421.844;331.885;89.959;843.698;753.739;89.959;89.959;0.0;89.959;418.338;362.978;55.36
108;7.2;83.728;0.0;83.728;200.059;116.331;83.728;829.302;745.574;83.728;83.728;0.0;83.728;427.98;385.051;42.929
109;8.9;67.667;0.0;67.667;67.667;0.0;67.667;858.029;790.362;67.667;160.294;92.627;67.667;432.665;409.93;22.735
110;10.6;48.658;0.0;48.658;48.658;0.0;48.658;790.299;741.642;48.658;344.34;295.682;48.658;372.303;362.429;9.874
111;6.1;27.397;0.0;27.397;27.397;0.0;27.397;659.961;632.565;27.397;476.816;449.42;27.397;266.157;265.524;0.633
112;5.6;12.577;0.0;12.577;12.577;0.0;12.577;440.457;427.88;12.577;477.159;464.583;12.577;125.766;125.766;0.0
113;3.3;11.035;0.0;11.035;11.035;0.0;11.035;76.755;65.72;11.035;115.412;104.377;11.035;15.267;4.529;10.738
114;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
116;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
120;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
121;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
123;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
125;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
127;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
128;-2.8;13.836;0.0;13.836;74.9;61.064;13.836;50.048;36.212;13.836;13.836;0.0;13.836;24.89;0.89;24
129;2.2;55.904;0.0;55.904;638.82;582.915;55.904;561.433;505.529;55.904;55.904;0.0;55.904;226.808;137.033;89.775
130;7.2;86.774;0.0;86.774;596.965;510.19;86.774;755.597;668.823;86.774;86.774;0.0;86.774;347.12;272.845;74.276
131;9.4;95.454;0.0;95.454;453.608;358.153;95.454;903.284;807.83;95.454;95.454;0.0;95.454;450.347;390.763;59.583
132;10.6;87.977;0.0;87.977;223.519;135.542;87.977;943.999;856.022;87.977;87.977;0.0;87.977;485.004;444.102;40.902
133;12.8;77.808;0.0;77.808;77.808;0.0;77.808;961.202;883.394;77.808;179.749;101.941;77.808;488.261;460.456;27.804
134;11.7;52.895;0.0;52.895;52.895;0.0;52.895;861.577;808.682;52.895;374.185;321.291;52.895;408.006;397.517;10.489
135;11.7;27.301;0.0;27.301;27.301;0.0;27.301;672.606;645.305;27.301;485.14;457.839;27.301;273.007;273.007;0.0
136;10;15.513;0.0;15.513;15.513;0.0;15.513;417.816;402.303;15.513;452.136;436.623;15.513;122.517;119.838;2.678
137;5;11.18;0.0;11.18;11.18;0.0;11.18;78.74;67.56;11.18;118.505;107.325;11.18;15.685;4.99;10.695
138;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
139;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
140;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
142;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
143;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
144;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
145;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
146;-0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
147;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
148;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
149;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
150;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
151;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
152;-1.1;13.856;0.0;13.856;67.266;53.41;13.856;45.333;31.477;13.856;13.856;0.0;13.856;24.788;0.788;24
153;0.6;55.863;0.0;55.863;657.832;601.969;55.863;575.051;519.188;55.863;55.863;0.0;55.863;235.164;141.582;93.582
154;4.4;91.964;0.0;91.964;649.183;557.219;91.964;818.349;726.385;91.964;91.964;0.0;91.964;380.062;297.842;82.22
155;6.7;99.692;0.0;99.692;477.752;378.059;99.692;946.493;846.8;99.692;99.692;0.0;99.692;474.7;411.582;63.118
156;6.7;92.48;0.0;92.48;236.593;144.114;92.48;989.384;896.904;92.48;92.48;0.0;92.48;511.089;467.57;43.519
157;6.7;78.635;0.0;78.635;78.635;0.0;78.635;961.787;883.153;78.635;178.966;100.331;78.635;491.167;462.752;28.415
158;7.8;52.403;0.0;52.403;52.403;0.0;52.403;861.407;809.005;52.403;372.737;320.335;52.403;409.993;400.14;9.853
159;7.2;28.399;0.0;28.399;28.399;0.0;28.399;694.184;665.785;28.399;500.178;471.778;28.399;283.992;283.992;0.0
160;6.1;13.896;0.0;13.896;13.896;0.0;13.896;474.013;460.117;13.896;513.126;499.23;13.896;138.964;138.964;0.0
161;4.4;9.631;0.0;9.631;9.631;0.0;9.631;95.141;85.509;9.631;145.531;135.9;9.631;14.992;6.755;8.237
162;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
163;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
164;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
165;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
166;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
169;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
171;-4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
172;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
173;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
174;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
175;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
176;-2.8;13.692;0.0;13.692;55.11;41.418;13.692;37.945;24.253;13.692;13.692;0.0;13.692;23.623;0.623;23
177;-0.6;70.088;0.0;70.088;489.293;419.205;70.088;429.598;359.51;70.088;70.088;0.0;70.088;206.693;98.693;108
178;1.1;87.509;0.0;87.509;604.777;517.268;87.509;757.945;670.437;87.509;87.509;0.0;87.509;351.393;276.421;74.972
179;2.8;97.942;0.0;97.942;468.431;370.489;97.942;921.926;823.983;97.942;97.942;0.0;97.942;464.183;402.55;61.633
180;5;93.198;0.0;93.198;239.322;146.124;93.198;989.405;896.207;93.198;93.198;0.0;93.198;513.756;469.614;44.142
181;5.6;78.859;0.0;78.859;78.859;0.0;78.859;961.892;883.033;78.859;177.6;98.741;78.859;493.642;465.258;28.383
182;6.1;52.657;0.0;52.657;52.657;0.0;52.657;861.833;809.176;52.657;372.01;319.353;52.657;412.669;402.827;9.841
183;7.8;28.692;0.0;28.692;28.692;0.0;28.692;695.621;666.928;28.692;500.75;472.057;28.692;286.922;286.922;0.0
184;6.1;14.169;0.0;14.169;14.169;0.0;14.169;476.704;462.535;14.169;515.96;501.79;14.169;141.694;141.694;0.0
185;4.4;8.468;0.0;8.468;8.468;0.0;8.468;108.442;99.974;8.468;167.458;158.99;8.468;15.077;8.43;6.647
186;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
187;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;-0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
189;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
190;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
191;-4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
192;-4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
193;-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
194;-4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
195;-5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
196;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
197;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
198;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
199;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;-3.3;12.108;0.0;12.108;123.606;111.498;12.108;76.963;64.855;12.108;12.108;0.0;12.108;30.718;1.718;29
201;1.1;56.123;0.0;56.123;667.177;611.054;56.123;577.106;520.983;56.123;56.123;0.0;56.123;239.439;144.069;95.37
202;5;92.652;0.0;92.652;656.108;563.456;92.652;818.662;726.009;92.652;92.652;0.0;92.652;384.017;301.112;82.905
203;7.8;98.122;0.0;98.122;470.894;372.772;98.122;921.238;823.116;98.122;98.122;0.0;98.122;465.905;404.325;61.58
204;10.6;89.213;0.0;89.213;231.037;141.824;89.213;946.436;857.222;89.213;89.213;0.0;89.213;493.077;451.633;41.444
205;12.2;72.872;0.0;72.872;72.872;0.0;72.872;921.881;849.009;72.872;166.298;93.426;72.872;473.843;449.943;23.9
206;11.7;50.324;0.0;50.324;50.324;0.0;50.324;822.587;772.263;50.324;354.14;303.816;50.324;396.273;387.066;9.207
207;12.2;28.227;0.0;28.227;28.227;0.0;28.227;678.536;650.309;28.227;488.062;459.835;28.227;282.268;282.268;0.0
208;8.3;14.08;0.0;14.08;14.08;0.0;14.08;467.041;452.961;14.08;505.497;491.416;14.08;140.803;140.803;0.0
209;6.1;9.879;0.0;9.879;9.879;0.0;9.879;101.981;92.102;9.879;156.47;146.591;9.879;16.457;8.274;8.183
210;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
