stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
4768;28.9;79.993;0.0;79.993;79.993;0.0;79.993;165.95;85.957;79.993;715.667;635.675;79.993;613.339;596.088;17.251
4769;27.8;86.08;26.751;59.329;59.329;0.0;59.329;59.329;0.0;59.329;715.389;656.06;59.329;416.663;400.72;15.943
4770;27.2;154.787;103.687;51.1;51.1;0.0;51.1;51.1;0.0;51.1;569.938;518.838;51.1;221.156;192.143;29.013
4771;26.1;94.246;61.118;33.128;33.128;0.0;33.128;33.128;0.0;33.128;199.932;166.804;33.128;63.8;27.719;36.081
4772;24.4;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;1;0;1
4773;22.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4774;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4775;18.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4776;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4777;16.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4778;15.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4779;15.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4780;14.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4781;13.9;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;1;0;1
4782;16.1;111.175;73.07;38.105;221.737;183.632;38.105;38.105;0.0;38.105;38.105;0.0;38.105;78.638;23.262;55.375
4783;18.3;234.303;127.968;106.335;668.933;562.598;106.335;106.335;0.0;106.335;106.335;0.0;106.335;320.708;184.306;136.402
4784;21.1;190.968;50.984;139.983;884.703;744.719;139.983;139.983;0.0;139.983;139.983;0.0;139.983;552.639;415.67;136.969
4785;23.9;150.414;0.0;150.414;913.165;762.751;150.414;228.499;78.085;150.414;150.414;0.0;150.414;749.58;657.805;91.775
4786;25.6;157.535;0.0;157.535;774.589;617.053;157.535;357.585;200.05;157.535;157.535;0.0;157.535;896.466;827.317;69.149
4787;27.2;154.887;0.0;154.887;557.698;402.812;154.887;443.66;288.773;154.887;154.887;0.0;154.887;985.61;940.594;45.016
4788;27.8;147.179;0.0;147.179;300.413;153.234;147.179;480.87;333.691;147.179;147.179;0.0;147.179;1017.818;991.085;26.734
4789;28.3;137.876;0.0;137.876;137.876;0.0;137.876;470.529;332.652;137.876;240.698;102.821;137.876;998.937;980.841;18.096
4790;29.4;127.578;0.0;127.578;127.578;0.0;127.578;411.321;283.743;127.578;464.272;336.694;127.578;924.832;900.714;24.119
4791;29.4;108.251;0.0;108.251;108.251;0.0;108.251;300.854;192.603;108.251;616.475;508.224;108.251;778.745;747.346;31.399
